sku,codigo_interno,nombre,marca,modelo,categoria,subcategoria,genero,color_principal,colores,tallas,precio_normal,precio_mayorista,precio_promocion,tipo_promocion,estado,nuevo,destacado,descripcion_corta,descripcion_larga,imagen_principal,galeria,etiquetas,origen
T22-1,T22-1,Producto T22-1,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"36, 37, 38, 39, 40, 41, 42, 43",C$ 1200,C$ 1100,,20% Descuento,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
T21-1,T21-1,Producto T21-1,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"36, 37, 38, 39, 40, 41, 42, 43",C$ 1200,C$ 1100,,20% Descuento,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
T655-18,T655-18,Producto T655-18,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"40, 41, 42, 43, 44",C$ 1200,C$ 1100,,,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
K998-3,K998-3,Producto K998-3,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"36, 37, 38, 39, 40",C$ 1200,C$ 1100,,,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
K991-2,K991-2,Producto K991-2,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"36, 37, 38, 40, 41, 42, 43, 44",C$ 1200,C$ 1100,,20% Descuento,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
K998-2,K998-2,Producto K998-2,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"36, 37, 38, 40, 41, 42, 43, 44",C$ 1200,C$ 1100,,20% Descuento,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
K997-3,K997-3,Producto K997-3,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"40, 41, 43",C$ 1200,C$ 1100,,,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
K997-1,K997-1,Producto K997-1,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"36, 37, 38, 40, 41, 42, 43",C$ 1200,C$ 1100,,,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
K998-1,K998-1,Producto K998-1,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"36, 37, 38, 40, 41, 42, 43",C$ 1200,C$ 1100,,,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
K997-6,K997-6,Producto K997-6,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,"40, 41, 42, 43, 44",C$ 1200,C$ 1100,,20% Descuento,Disponible,no,no,Referencia visible en el Catálogo Maestro Canva STYLUS 2026.,"Datos comerciales iniciales extraídos del diseño Canva DAHLitKfdE0. Completar marca, modelo, color e imágenes reales antes de publicar como producto final.",,,canva;catalogo-maestro,Canva Catálogo Maestro STYLUS 2026
